Time (sec)	Outer Temperature (C) 	Center Temperature (C)	Stirrer Speed  (rpm)	
7.13	20.61	20.48	3.51
8.13	20.62	20.50	3.51
9.12	20.60	20.48	3.51
10.12	20.60	20.48	21.85
11.11	20.60	20.47	159.37
12.12	20.59	20.46	312.17
13.10	20.63	20.51	494.01
14.09	20.59	20.48	585.69
15.08	20.62	20.48	691.12
16.08	20.65	20.51	743.08
17.07	20.66	20.54	834.76
18.06	20.62	20.52	894.35
19.05	20.64	20.50	917.27
20.04	20.63	20.54	941.72
21.03	20.65	20.54	949.36
22.03	20.67	20.57	972.28
23.02	20.69	20.58	981.45
24.02	20.69	20.60	990.62
25.02	20.72	20.60	996.73
26.02	20.67	20.58	998.26
27.02	20.70	20.54	998.26
28.01	20.72	20.59	998.26
29.01	20.73	20.61	996.73
30.01	20.74	20.64	998.26
31.00	20.72	20.61	998.26
32.00	20.73	20.64	998.26
32.99	20.69	20.60	1004.37
33.99	20.76	20.67	996.73
34.99	20.79	20.72	998.26
35.97	20.80	20.71	998.26
36.96	20.81	20.73	996.73
37.96	20.85	20.74	998.26
38.96	20.86	20.76	998.26
39.96	20.86	20.78	998.26
40.94	20.91	20.81	998.26
41.92	20.92	20.82	998.26
42.92	20.97	20.89	998.26
43.91	20.99	20.89	998.26
44.91	21.03	20.89	998.26
45.91	21.08	20.92	998.26
46.91	21.12	20.98	996.73
47.90	21.10	20.99	998.26
48.90	21.16	20.98	998.26
49.90	21.18	21.01	998.26
50.90	21.24	21.08	998.26
51.89	21.29	21.11	996.73
52.88	21.28	21.13	998.26
53.88	21.35	21.14	998.26
54.86	21.37	21.22	998.26
55.85	21.39	21.23	996.73
56.85	21.40	21.24	998.26
57.85	21.51	21.35	998.26
58.85	21.55	21.39	998.26
59.85	21.52	21.36	998.26
60.85	21.63	21.45	998.26
61.85	21.66	21.51	998.26
62.85	21.69	21.52	999.79
63.85	21.72	21.53	1001.31
64.85	21.79	21.59	998.26
65.85	21.84	21.63	996.73
66.84	21.87	21.68	998.26
67.83	21.91	21.71	998.26
68.82	21.95	21.73	998.26
69.82	21.97	21.75	998.26
70.82	22.04	21.82	995.20
71.82	22.12	21.87	998.26
72.81	22.16	21.91	998.26
73.81	22.20	21.96	998.26
74.81	22.25	21.99	996.73
75.80	22.29	22.05	996.73
76.79	22.34	22.08	998.26
77.79	22.42	22.18	996.73
78.79	22.43	22.21	998.26
79.77	22.49	22.25	996.73
80.76	22.55	22.32	998.26
81.76	22.59	22.33	998.26
82.76	22.66	22.44	998.26
83.74	22.69	22.45	998.26
84.74	22.74	22.51	998.26
85.74	22.84	22.56	998.26
86.74	22.84	22.58	998.26
87.74	22.97	22.71	999.79
88.74	22.98	22.69	998.26
89.74	23.05	22.76	998.26
90.73	23.13	22.85	998.26
91.73	23.19	22.90	998.26
92.73	23.25	22.94	998.26
93.73	23.30	23.01	998.26
94.73	23.40	23.09	999.79
95.71	23.42	23.13	998.26
96.70	23.52	23.21	998.26
97.70	23.58	23.27	998.26
98.69	23.68	23.38	998.26
99.69	23.71	23.43	998.26
100.67	23.80	23.52	998.26
101.67	23.83	23.56	998.26
102.66	23.87	23.59	998.26
103.66	24.00	23.70	998.26
104.66	24.08	23.79	998.26
105.65	24.12	23.84	998.26
106.65	24.22	23.94	998.26
107.63	24.33	24.01	996.73
108.62	24.42	24.12	998.26
109.60	24.47	24.13	998.26
110.58	24.57	24.24	998.26
111.57	24.64	24.32	998.26
112.57	24.72	24.37	999.79
113.57	24.83	24.46	998.26
114.57	24.87	24.51	998.26
115.56	24.96	24.59	998.26
116.56	25.08	24.72	998.26
117.56	25.16	24.84	998.26
118.55	25.25	24.93	995.20
119.55	25.31	25.00	998.26
120.55	25.43	25.14	998.26
121.55	25.53	25.24	998.26
122.55	25.62	25.32	996.73
123.55	25.72	25.42	998.26
124.55	25.84	25.51	998.26
125.55	25.92	25.59	998.26
126.55	26.02	25.67	998.26
127.55	26.14	25.78	998.26
128.55	26.24	25.87	998.26
129.55	26.39	25.98	998.26
130.55	26.50	26.09	998.26
131.55	26.57	26.17	998.26
132.55	26.67	26.27	996.73
133.55	26.82	26.39	998.26
134.55	26.94	26.50	998.26
135.55	27.04	26.60	996.73
136.55	27.15	26.71	998.26
137.55	27.29	26.81	996.73
138.55	27.42	26.97	998.26
139.55	27.51	27.07	998.26
140.55	27.64	27.18	998.26
141.55	27.79	27.34	998.26
142.55	27.91	27.48	998.26
143.56	28.03	27.58	998.26
144.56	28.19	27.77	998.26
145.55	28.27	27.86	998.26
146.56	28.39	28.01	998.26
147.55	28.55	28.10	998.26
148.55	28.67	28.21	996.73
149.55	28.82	28.38	996.73
150.55	28.96	28.47	996.73
151.55	29.14	28.63	998.26
152.55	29.23	28.77	996.73
153.55	29.41	28.92	998.26
154.55	29.55	29.05	998.26
155.55	29.68	29.15	998.26
156.55	29.80	29.27	996.73
157.55	29.99	29.49	998.26
158.55	30.08	29.58	998.26
159.55	30.16	29.67	1010.48
160.55	30.38	29.87	998.26
161.55	30.48	29.99	998.26
162.55	30.62	30.15	998.26
163.55	30.82	30.34	998.26
164.55	30.91	30.44	999.79
165.55	31.01	30.58	998.26
166.55	31.17	30.78	999.79
167.55	31.35	30.89	998.26
168.55	31.45	31.02	1004.37
169.55	31.57	31.12	998.26
170.55	31.74	31.29	998.26
171.55	31.89	31.45	998.26
172.55	32.03	31.59	996.73
173.55	32.17	31.72	996.73
174.55	32.32	31.89	998.26
175.55	32.44	32.04	998.26
176.55	32.58	32.17	998.26
177.55	32.75	32.32	999.79
178.55	32.90	32.49	998.26
179.55	33.01	32.60	998.26
180.55	33.16	32.74	999.79
181.55	33.29	32.87	999.79
182.55	33.48	33.07	996.73
183.55	33.56	33.13	998.26
184.56	33.72	33.30	998.26
185.55	33.85	33.46	998.26
186.55	34.02	33.58	998.26
187.55	34.16	33.72	998.26
188.55	34.28	33.85	998.26
189.55	34.44	34.01	998.26
190.55	34.55	34.13	998.26
191.55	34.69	34.24	993.67
192.55	34.85	34.39	998.26
193.55	35.00	34.53	999.79
194.55	35.15	34.63	998.26
195.55	35.24	34.70	998.26
196.55	35.38	34.82	999.79
197.55	35.59	35.01	998.26
198.55	35.68	35.12	998.26
199.55	35.82	35.26	998.26
200.55	35.95	35.40	998.26
201.55	36.13	35.55	998.26
202.55	36.29	35.77	998.26
203.55	36.40	35.89	998.26
204.55	36.55	36.05	998.26
205.55	36.67	36.18	998.26
206.55	36.82	36.33	995.20
207.55	36.93	36.47	999.79
208.55	37.11	36.64	998.26
209.55	37.20	36.72	998.26
210.55	37.38	36.92	998.26
211.55	37.52	37.02	996.73
212.55	37.65	37.16	998.26
213.55	37.82	37.31	996.73
214.55	37.92	37.46	998.26
215.55	38.08	37.62	998.26
216.55	38.21	37.75	998.26
217.55	38.36	37.88	998.26
218.55	38.50	38.00	998.26
219.55	38.66	38.17	998.26
220.55	38.80	38.30	998.26
221.55	38.92	38.45	995.20
222.55	39.07	38.62	998.26
223.55	39.20	38.81	998.26
224.55	39.31	38.92	998.26
225.55	39.47	39.05	998.26
226.55	39.67	39.20	998.26
227.55	39.76	39.28	998.26
228.55	39.89	39.41	998.26
229.55	40.05	39.58	998.26
230.55	40.19	39.72	998.26
231.55	40.34	39.91	998.26
232.55	40.42	40.00	998.26
233.55	40.62	40.16	998.26
234.55	40.74	40.31	998.26
235.55	40.90	40.45	996.73
236.55	41.05	40.60	998.26
237.55	41.16	40.71	998.26
238.55	41.31	40.86	996.73
239.55	41.47	41.03	998.26
240.56	41.56	41.15	996.73
241.55	41.75	41.30	998.26
242.55	41.82	41.38	999.79
243.55	41.98	41.53	998.26
244.55	42.12	41.70	998.26
245.55	42.26	41.83	998.26
246.55	42.43	41.99	998.26
247.55	42.56	42.10	998.26
248.55	42.71	42.26	998.26
249.55	42.84	42.39	998.26
250.55	43.00	42.54	998.26
251.55	43.14	42.67	998.26
252.56	43.24	42.78	996.73
253.55	43.39	42.95	998.26
254.55	43.53	43.07	999.79
255.56	43.66	43.17	998.26
256.55	43.82	43.33	998.26
257.55	43.93	43.46	996.73
258.55	44.10	43.60	996.73
259.55	44.21	43.67	996.73
260.56	44.37	43.83	998.26
261.55	44.50	43.99	998.26
262.55	44.63	44.11	998.26
263.55	44.76	44.25	998.26
264.55	44.93	44.42	998.26
265.55	45.05	44.56	998.26
266.55	45.18	44.72	998.26
267.56	45.28	44.86	998.26
268.56	45.42	45.03	998.26
269.55	45.60	45.19	998.26
270.55	45.76	45.35	998.26
271.55	45.84	45.44	998.26
272.55	46.03	45.63	998.26
273.55	46.14	45.70	1002.84
274.55	46.30	45.82	996.73
275.55	46.39	45.89	998.26
276.55	46.55	46.04	998.26
277.55	46.71	46.20	998.26
278.55	46.81	46.35	996.73
279.56	47.02	46.52	999.79
280.55	47.12	46.66	998.26
281.55	47.25	46.75	993.67
282.55	47.40	46.94	998.26
283.55	47.52	47.08	998.26
284.55	47.66	47.21	998.26
285.55	47.77	47.36	998.26
286.55	47.92	47.48	998.26
287.55	48.03	47.57	1001.31
288.55	48.20	47.78	998.26
289.56	48.31	47.89	998.26
290.55	48.45	48.04	996.73
291.56	48.58	48.15	996.73
292.55	48.76	48.30	996.73
293.55	48.89	48.44	998.26
294.55	48.98	48.60	998.26
295.55	49.17	48.78	998.26
296.55	49.26	48.85	998.26
297.55	49.44	49.00	998.26
298.55	49.56	49.13	998.26
299.55	49.70	49.24	998.26
300.55	49.82	49.37	998.26
301.56	49.98	49.50	998.26
302.55	50.12	49.66	998.26
303.55	50.25	49.81	999.79
304.55	50.39	49.96	998.26
305.55	50.55	50.10	999.79
306.56	50.70	50.26	998.26
307.56	50.83	50.33	998.26
308.56	50.97	50.47	998.26
309.55	51.08	50.59	999.79
310.55	51.23	50.71	998.26
311.55	51.35	50.80	998.26
312.56	51.52	50.94	998.26
313.55	51.63	51.04	998.26
314.55	51.76	51.22	998.26
315.55	51.93	51.37	998.26
316.56	52.03	51.48	998.26
317.56	52.14	51.61	996.73
318.55	52.30	51.77	998.26
319.56	52.44	51.92	998.26
320.55	52.59	52.03	1001.31
321.55	52.73	52.20	999.79
322.55	52.85	52.35	998.26
323.55	52.96	52.47	998.26
324.55	53.10	52.62	998.26
325.55	53.28	52.80	998.26
326.55	53.35	52.89	998.26
327.55	53.50	53.05	998.26
328.56	53.61	53.17	1002.84
329.55	53.77	53.33	996.73
330.55	53.89	53.44	996.73
331.55	54.03	53.57	998.26
332.55	54.16	53.69	998.26
333.56	54.32	53.81	998.26
334.55	54.49	53.95	998.26
335.55	54.59	54.04	996.73
336.55	54.73	54.18	998.26
337.56	54.88	54.31	998.26
338.55	54.98	54.44	998.26
339.55	55.17	54.61	998.26
340.55	55.26	54.72	995.20
341.55	55.39	54.86	998.26
342.56	55.51	54.95	996.73
343.55	55.67	55.13	998.26
344.55	55.80	55.27	996.73
345.55	55.91	55.38	998.26
346.55	56.07	55.56	998.26
347.55	56.20	55.67	998.26
348.55	56.33	55.82	998.26
349.56	56.52	55.99	998.26
350.56	56.61	56.08	998.26
351.55	56.74	56.21	996.73
352.55	56.82	56.31	996.73
353.55	56.98	56.46	998.26
354.55	57.11	56.59	998.26
355.55	57.25	56.71	998.26
356.55	57.38	56.81	995.20
357.55	57.54	56.94	998.26
358.55	57.66	57.07	999.79
359.55	57.78	57.23	996.73
360.56	57.90	57.38	986.03
361.55	58.03	57.52	998.26
362.55	58.16	57.68	998.26
363.55	58.28	57.81	998.26
364.55	58.44	57.98	998.26
365.56	58.53	58.09	998.26
366.56	58.70	58.25	998.26
367.55	58.80	58.34	1005.90
368.55	58.92	58.49	998.26
