Time (sec)	Outer Temperature (C) 	Center Temperature (C)	Stirrer Speed  (rpm)	
17.53	19.49	20.22	3.51
18.52	19.50	20.21	1.98
19.50	19.49	20.18	3.51
20.49	19.48	20.19	3.51
21.48	19.49	20.22	67.69
22.48	19.49	20.20	125.75
23.46	19.48	20.19	167.01
24.45	19.51	20.21	228.13
25.44	19.50	20.20	281.61
26.43	19.54	20.22	342.73
27.43	19.52	20.19	406.91
28.41	19.57	20.22	457.33
29.40	19.54	20.18	498.59
30.38	19.50	20.15	549.02
31.36	19.53	20.17	588.75
32.35	19.51	20.16	642.23
33.34	19.50	20.14	688.07
34.32	19.50	20.12	714.04
35.30	19.55	20.14	741.55
36.29	19.55	20.01	750.72
37.27	19.55	20.00	752.24
38.26	19.54	19.95	752.24
39.24	19.59	19.93	749.19
40.23	19.58	19.88	755.30
41.21	19.57	19.86	752.24
42.19	19.56	19.83	752.24
43.18	19.60	19.81	752.24
44.16	19.62	19.79	750.72
45.15	19.64	19.82	749.19
46.13	19.63	19.77	750.72
47.12	19.64	19.79	753.77
48.10	19.69	19.80	750.72
49.09	19.64	19.76	750.72
50.07	19.66	19.77	753.77
51.05	19.73	19.82	750.72
52.04	19.70	19.78	750.72
53.02	19.71	19.80	752.24
54.01	19.74	19.88	752.24
55.01	19.74	19.89	752.24
55.99	19.82	19.96	750.72
56.97	19.81	19.96	752.24
57.96	19.83	19.96	752.24
58.94	19.86	20.01	752.24
59.93	19.92	20.02	752.24
60.91	19.95	20.08	752.24
61.90	19.95	20.12	750.72
62.88	19.98	20.14	752.24
63.87	20.00	20.13	752.24
64.85	20.09	20.15	752.24
65.83	20.11	20.18	750.72
66.82	20.13	20.18	752.24
67.80	20.19	20.28	752.24
68.79	20.22	20.30	750.72
69.77	20.27	20.32	752.24
70.76	20.30	20.31	750.72
71.74	20.38	20.42	750.72
72.73	20.40	20.47	750.72
73.71	20.45	20.50	752.24
74.69	20.48	20.55	750.72
75.68	20.51	20.55	750.72
76.66	20.57	20.60	752.24
77.65	20.58	20.65	750.72
78.63	20.65	20.71	752.24
79.63	20.72	20.76	753.77
80.63	20.76	20.79	752.24
81.63	20.84	20.85	752.24
82.63	20.88	20.89	752.24
83.63	20.93	20.90	752.24
84.63	20.98	20.97	752.24
85.63	21.05	21.03	752.24
86.63	21.09	21.11	752.24
87.63	21.14	21.11	750.72
88.63	21.21	21.17	750.72
89.63	21.24	21.28	750.72
90.63	21.30	21.36	752.24
91.63	21.37	21.38	752.24
92.63	21.45	21.41	752.24
93.63	21.51	21.46	752.24
94.63	21.52	21.49	752.24
95.63	21.63	21.62	752.24
96.63	21.70	21.67	752.24
97.63	21.72	21.71	752.24
98.63	21.75	21.73	752.24
99.63	21.85	21.83	750.72
100.63	21.90	21.90	750.72
101.63	21.99	21.96	752.24
102.63	22.06	22.01	753.77
103.63	22.10	22.07	752.24
104.63	22.18	22.18	752.24
105.63	22.25	22.22	752.24
106.63	22.35	22.31	752.24
107.63	22.42	22.39	756.83
108.63	22.49	22.50	752.24
109.63	22.53	22.54	750.72
110.63	22.65	22.64	752.24
111.63	22.71	22.70	752.24
112.63	22.85	22.76	752.24
113.63	22.88	22.81	752.24
114.63	22.99	22.90	752.24
115.63	23.05	22.97	750.72
116.63	23.16	23.03	752.24
117.63	23.21	23.09	750.72
118.63	23.30	23.20	752.24
119.63	23.37	23.28	752.24
120.63	23.49	23.39	752.24
121.63	23.59	23.45	753.77
122.63	23.69	23.49	752.24
123.63	23.77	23.60	752.24
124.63	23.90	23.72	752.24
125.63	24.01	23.81	750.72
126.63	24.08	23.86	752.24
127.63	24.19	23.92	752.24
128.63	24.30	24.03	753.77
129.63	24.41	24.15	750.72
130.63	24.50	24.26	752.24
131.63	24.59	24.32	752.24
132.63	24.71	24.48	752.24
133.63	24.81	24.57	752.24
134.63	24.93	24.71	752.24
135.63	25.02	24.79	753.77
136.63	25.16	24.87	752.24
137.63	25.24	24.98	752.24
138.63	25.33	25.05	752.24
139.63	25.47	25.15	752.24
140.63	25.59	25.28	753.77
141.63	25.73	25.40	752.24
142.63	25.83	25.51	750.72
143.63	26.02	25.66	752.24
144.63	26.11	25.74	752.24
145.63	26.22	25.84	752.24
146.63	26.39	25.98	752.24
147.63	26.46	26.08	752.24
148.63	26.63	26.25	750.72
149.63	26.74	26.36	752.24
150.63	26.90	26.52	750.72
151.63	27.09	26.65	752.24
152.63	27.21	26.78	752.24
153.63	27.31	26.91	750.72
154.63	27.46	27.08	752.24
155.63	27.58	27.20	752.24
156.63	27.73	27.38	752.24
157.63	27.85	27.48	750.72
158.63	28.03	27.66	752.24
159.63	28.18	27.79	752.24
160.63	28.31	27.88	752.24
161.63	28.48	28.00	752.24
162.63	28.59	28.16	750.72
163.63	28.77	28.29	752.24
164.63	28.90	28.40	752.24
165.63	29.05	28.61	752.24
166.63	29.17	28.77	752.24
167.63	29.31	28.97	752.24
168.63	29.51	29.21	752.24
169.63	29.61	29.33	761.41
170.63	29.79	29.48	750.72
171.63	29.92	29.61	752.24
172.63	30.11	29.79	764.47
173.63	30.25	29.92	752.24
174.63	30.41	30.08	753.77
175.63	30.53	30.17	752.24
176.63	30.69	30.34	753.77
177.63	30.82	30.46	752.24
178.63	30.91	30.53	752.24
179.63	31.07	30.65	750.72
180.63	31.26	30.83	750.72
181.63	31.37	31.00	750.72
182.63	31.52	31.17	746.13
183.63	31.70	31.35	750.72
184.63	31.87	31.51	750.72
185.63	31.98	31.61	752.24
186.63	32.15	31.76	750.72
187.63	32.29	31.88	752.24
188.63	32.43	31.99	752.24
189.63	32.58	32.17	750.72
190.63	32.68	32.30	750.72
191.63	32.87	32.47	752.24
192.63	33.03	32.63	759.88
193.63	33.20	32.81	752.24
194.63	33.35	32.95	752.24
195.63	33.47	33.06	752.24
196.63	33.65	33.26	752.24
197.63	33.81	33.41	753.77
198.63	33.99	33.59	752.24
199.63	34.13	33.70	752.24
200.63	34.24	33.82	752.24
201.63	34.45	33.99	752.24
202.63	34.55	34.09	752.24
203.63	34.70	34.21	752.24
204.63	34.84	34.38	752.24
205.63	34.99	34.53	750.72
206.63	35.16	34.72	752.24
207.63	35.31	34.90	752.24
208.63	35.45	35.05	752.24
209.63	35.56	35.15	746.13
210.63	35.69	35.29	752.24
211.63	35.85	35.46	752.24
212.63	35.99	35.59	752.24
213.63	36.12	35.77	752.24
214.63	36.34	35.95	752.24
215.63	36.52	36.07	750.72
216.63	36.63	36.18	750.72
217.63	36.77	36.36	752.24
218.63	36.92	36.53	752.24
219.63	37.08	36.71	752.24
220.63	37.21	36.90	750.72
221.63	37.36	37.03	752.24
222.63	37.49	37.14	752.24
223.63	37.64	37.30	761.41
224.63	37.83	37.42	752.24
225.63	37.94	37.53	752.24
226.63	38.15	37.78	753.77
227.63	38.28	37.88	752.24
228.63	38.42	38.00	750.72
229.63	38.55	38.12	752.24
230.63	38.70	38.23	752.24
231.63	38.84	38.34	752.24
232.63	38.97	38.47	752.24
233.63	39.14	38.64	752.24
234.63	39.30	38.81	752.24
235.63	39.46	39.00	752.24
236.63	39.61	39.16	752.24
237.63	39.76	39.30	752.24
238.63	39.92	39.44	752.24
239.63	40.08	39.58	752.24
240.63	40.21	39.70	752.24
241.63	40.40	39.91	752.24
242.63	40.53	40.09	750.72
243.63	40.69	40.25	752.24
244.63	40.83	40.37	752.24
245.63	41.00	40.54	752.24
246.63	41.12	40.67	752.24
247.63	41.29	40.86	752.24
248.63	41.43	41.00	752.24
249.63	41.57	41.13	752.24
250.63	41.71	41.26	752.24
251.63	41.86	41.36	750.72
252.63	42.02	41.51	752.24
253.63	42.16	41.61	740.02
254.63	42.26	41.74	752.24
255.63	42.40	41.84	752.24
256.63	42.62	42.05	752.24
257.63	42.75	42.18	752.24
258.63	42.87	42.32	750.72
259.63	43.03	42.46	752.24
260.63	43.19	42.63	752.24
261.63	43.35	42.80	750.72
262.63	43.46	42.92	752.24
263.63	43.65	43.16	752.24
264.63	43.77	43.30	752.24
265.63	43.91	43.42	750.72
266.63	44.08	43.57	752.24
267.63	44.22	43.74	750.72
268.63	44.33	43.93	750.72
269.63	44.53	44.09	752.24
270.63	44.67	44.22	758.36
271.63	44.80	44.35	752.24
272.63	44.96	44.52	752.24
273.63	45.11	44.69	752.24
274.63	45.27	44.87	752.24
275.63	45.39	44.96	752.24
276.63	45.55	45.13	750.72
277.63	45.72	45.25	750.72
278.63	45.86	45.38	752.24
279.63	46.00	45.53	752.24
280.63	46.11	45.64	752.24
281.63	46.26	45.80	752.24
282.63	46.38	45.93	752.24
283.63	46.54	46.09	750.72
284.63	46.68	46.25	752.24
285.63	46.85	46.42	752.24
286.63	46.98	46.51	752.24
287.63	47.11	46.66	752.24
288.63	47.25	46.75	752.24
289.63	47.39	46.91	752.24
290.63	47.60	47.07	769.05
291.63	47.72	47.20	750.72
292.63	47.91	47.35	750.72
293.63	48.04	47.50	752.24
294.63	48.19	47.62	752.24
295.63	48.32	47.79	752.24
296.63	48.51	47.96	752.24
297.64	48.60	48.10	750.72
298.63	48.76	48.26	752.24
299.63	48.90	48.38	752.24
300.63	49.05	48.51	750.72
301.63	49.18	48.67	752.24
302.63	49.35	48.84	752.24
303.63	49.49	48.95	752.24
304.63	49.61	49.11	752.24
305.63	49.72	49.21	750.72
306.63	49.88	49.33	752.24
307.64	50.03	49.48	752.24
308.63	50.14	49.63	752.24
309.63	50.32	49.83	752.24
310.64	50.45	49.99	752.24
311.63	50.64	50.15	752.24
312.64	50.77	50.33	752.24
313.63	50.90	50.49	752.24
314.63	51.06	50.61	752.24
315.63	51.22	50.78	753.77
316.63	51.38	50.91	752.24
317.63	51.52	51.05	752.24
318.64	51.66	51.14	752.24
319.63	51.81	51.28	752.24
320.63	51.92	51.43	749.19
321.63	52.07	51.57	752.24
322.63	52.17	51.74	752.24
323.63	52.37	51.86	753.77
324.64	52.52	51.99	753.77
325.64	52.64	52.15	752.24
326.63	52.76	52.32	752.24
327.64	52.92	52.51	752.24
328.63	53.07	52.67	750.72
329.63	53.17	52.79	752.24
330.63	53.34	52.90	752.24
331.63	53.52	53.06	752.24
332.63	53.64	53.16	752.24
333.64	53.78	53.28	753.77
